step,turnover,tc_penalty,net_return,gross_return,tc_drag
0,0.0009024246920279998,9.024246920279998e-07,0.9995180359379064,0.9995189383625984,9.024246919731027e-07
1,0.00033268087455350787,3.3268087455350785e-07,0.9998222689951127,0.9998226016759872,3.326808745152121e-07
2,0.009561523601803523,9.561523601803522e-06,1.0090042198004272,1.009013781324029,9.561523601764321e-06
3,0.018366907508317352,1.836690750831735e-05,0.9698384242907453,0.9698567911982536,1.8366907508338137e-05
4,0.01515260143780995,1.515260143780995e-05,1.0035238936711977,1.0035390462726355,1.5152601437806723e-05
5,0.019567725847964505,1.9567725847964505e-05,1.031433706464578,1.0314532741904259,1.9567725847879913e-05
6,0.014137359420937318,1.4137359420937318e-05,0.9650342409740285,0.9650483783334494,1.4137359420907103e-05
7,0.0031409332340913143,3.1409332340913143e-06,0.998324496158045,0.998327637091279,3.140933234058174e-06
8,0.0032600510706098443,3.2600510706098443e-06,1.0017384621750722,1.0017417222261429,3.2600510706526364e-06
9,0.016482614095654748,1.648261409565475e-05,1.005679441548769,1.0056959241628647,1.648261409559204e-05
10,0.00858161343146394,8.58161343146394e-06,1.0005742121140857,1.0005827937275171,8.581613431424273e-06
11,0.009702495671355213,9.702495671355213e-06,1.0300242137392988,1.03003391623497,9.70249567133763e-06
12,0.020442086209887717,2.0442086209887717e-05,0.9631509245159725,0.9631713666021824,2.044208620988197e-05
13,0.009449058440206475,9.449058440206476e-06,0.9956779257867069,0.9956873748451471,9.449058440247349e-06
14,0.002159017662896799,2.159017662896799e-06,0.9988476892676545,0.9988498482853174,2.159017662872742e-06
15,0.005031441926685386,5.031441926685386e-06,0.9973187144197229,0.9973237458616495,5.031441926650615e-06
16,0.026125028175957705,2.6125028175957706e-05,0.9682767898445895,0.9683029148727655,2.612502817600504e-05
17,0.012506011300541426,1.2506011300541427e-05,1.0059855857608981,1.0059980917721987,1.25060113005393e-05
18,0.02194660522912843,2.194660522912843e-05,0.9800004894026282,0.9800224360078573,2.1946605229139493e-05
19,0.012768111147310836,1.2768111147310836e-05,0.9982081971550804,0.9982209652662277,1.2768111147365424e-05
20,0.01454203830887521,1.454203830887521e-05,1.0208450328607686,1.0208595748990774,1.454203830886236e-05
21,0.0028502156621385,2.8502156621385e-06,1.0015195790717715,1.0015224292874336,2.850215662153488e-06
22,0.0048790264558908475,4.8790264558908476e-06,1.0026040572535562,1.0026089362800121,4.879026455961721e-06
23,0.014670122789963918,1.4670122789963918e-05,0.9947640375006918,0.9947787076234818,1.46701227899948e-05
24,0.01730215387216118,1.7302153872161182e-05,1.0154000613407625,1.0154173634946346,1.7302153872078563e-05
25,0.02155856012361434,2.155856012361434e-05,0.9541111250150297,0.9541326835751534,2.1558560123646764e-05
26,0.017748953798297724,1.7748953798297725e-05,0.99086352643182,0.9908812753856182,1.7748953798246703e-05
27,0.015095118781645846,1.5095118781645847e-05,1.0013475974459443,1.0013626925647259,1.5095118781616179e-05
28,0.0008585282731626287,8.585282731626287e-07,1.0004572329691481,1.0004580914974213,8.585282731399246e-07
29,0.0038042922641804144,3.8042922641804147e-06,1.0020292766134118,1.0020330809056759,3.8042922640979526e-06
30,0.01698632262577312,1.698632262577312e-05,1.0155551052419103,1.015572091564536,1.6986322625811567e-05
31,0.01946168812320874,1.946168812320874e-05,0.9938754729661127,0.9938949346542358,1.9461688123167953e-05
32,0.010901736152865493,1.0901736152865494e-05,1.0062447472940557,1.0062556490302086,1.0901736152924002e-05
33,0.017026890086639747,1.7026890086639748e-05,1.017303484972549,1.0173205118626356,1.7026890086535573e-05
34,0.016408383694642384,1.6408383694642383e-05,1.0203504633457985,1.0203668717294931,1.6408383694654916e-05
35,0.0015038264804038554,1.5038264804038554e-06,1.0008011807488388,1.0008026845753193,1.5038264804534407e-06
36,0.003080985111746544,3.080985111746544e-06,1.0016428155986838,1.0016458965837955,3.0809851117030718e-06
37,0.010442373224892672,1.0442373224892672e-05,1.0055900137751612,1.005600456148386,1.0442373224783807e-05
38,0.009458554390770674,9.458554390770673e-06,0.9920442699962818,0.9920537285506725,9.458554390717744e-06
39,0.010576989486671632,1.0576989486671632e-05,0.9875674779005499,0.9875780548900366,1.0576989486699162e-05
40,0.014830136996091883,1.4830136996091883e-05,1.0174306745283788,1.0174455046653748,1.4830136995991339e-05
41,0.012721428711767499,1.27214287117675e-05,0.9824349493439599,0.9824476707726717,1.2721428711781613e-05
42,0.0011286001082736682,1.1286001082736684e-06,1.0006011539836053,1.0006022825837135,1.1286001082577712e-06
43,0.0002617442620863747,2.617442620863747e-07,1.0001393546855437,1.0001396164298058,2.6174426204228496e-07
44,0.008810800218597103,8.810800218597103e-06,1.0049501559467078,1.0049589667469263,8.810800218528314e-06
45,0.00776130733567296,7.76130733567296e-06,1.006037235595011,1.0060449969023466,7.761307335707457e-06
46,0.006350599652311967,6.350599652311967e-06,0.9915710604708138,0.991577411070466,6.350599652260591e-06
47,0.010963627071199102,1.0963627071199103e-05,0.9782745315647413,0.9782854951918125,1.0963627071203241e-05
48,0.014562824368205083,1.4562824368205083e-05,0.9719168090134862,0.9719313718378544,1.4562824368180571e-05
49,0.006241339642104295,6.2413396421042955e-06,0.9966760877637085,0.9966823291033506,6.241339642110155e-06
50,0.006559424568359954,6.559424568359954e-06,0.996507276661228,0.9965138360857964,6.559424568397532e-06
51,0.022803092688724325,2.2803092688724326e-05,0.9573802942090328,0.9574030973017216,2.280309268876124e-05
52,0.013531015553908302,1.3531015553908301e-05,0.9984893102037521,0.998502841219306,1.353101555390257e-05
53,0.011676767301228949,1.167676730122895e-05,1.014168391159344,1.0141800679266453,1.1676767301294078e-05
54,0.024317813821108304,2.4317813821108303e-05,0.9694745474925563,0.9694988653063774,2.4317813821062018e-05
55,0.010759061223088447,1.0759061223088448e-05,1.0006231735888662,1.0006339326500893,1.0759061223053479e-05
56,0.009215227685429248,9.215227685429247e-06,0.9951000336786886,0.995109248906374,9.215227685377414e-06
57,0.012549744165883378,1.2549744165883378e-05,1.0067257478971114,1.0067382976412773,1.2549744165868404e-05
58,0.00013630768438545326,1.3630768438545327e-07,1.00006981719354,1.0000699535012245,1.3630768447292496e-07
59,0.013683706281537505,1.3683706281537506e-05,1.0255487572702189,1.0255624409765005,1.3683706281630847e-05
60,0.013784715380326058,1.3784715380326058e-05,0.9974567077817063,0.9974704924970865,1.3784715380271706e-05
61,0.016266180543759355,1.6266180543759355e-05,1.0149543809905959,1.0149706471711397,1.6266180543844655e-05
62,0.01520750525069402,1.520750525069402e-05,1.0292315921425574,1.029246799647808,1.5207505250636189e-05
63,0.0015386595612708123,1.5386595612708125e-06,1.0008197537407988,1.00082129240036,1.5386595613176013e-06
64,0.00335572489188422,3.3557248918842203e-06,0.998210121707836,0.9982134774327278,3.3557248918514304e-06
65,0.007424314969584428,7.424314969584428e-06,0.9967193493642869,0.9967267736792564,7.424314969584067e-06
66,0.013240163363670267,1.3240163363670267e-05,0.9760987511676176,0.9761119913309813,1.324016336368139e-05
67,0.011437860274176335,1.1437860274176335e-05,1.0007147609172822,1.0007261987775564,1.143786027424376e-05
68,0.011678017755674761,1.167801775567476e-05,0.992554672829727,0.9925663508474827,1.1678017755700765e-05
69,0.010196932239493799,1.0196932239493799e-05,1.0065449188718367,1.0065551158040762,1.0196932239470158e-05
70,0.00038806518139343493,3.8806518139343494e-07,1.0001545486209769,1.0001549366861582,3.880651813226166e-07
71,0.0005653006416605974,5.653006416605974e-07,1.0003010193007607,1.0003015846014023,5.653006416306283e-07
72,0.007027831911093969,7.02783191109397e-06,1.0037552508739243,1.0037622787058353,7.027831911088356e-06
73,0.014558802221852987,1.4558802221852986e-05,1.0036366745877519,1.0036512333899736,1.4558802221786848e-05
74,0.008222087143271273,8.222087143271273e-06,1.0072125695656553,1.0072207916527987,8.222087143350265e-06
75,0.013625382518247929,1.362538251824793e-05,1.0147362592228895,1.0147498846054077,1.3625382518256401e-05
76,0.005225464364676736,5.225464364676736e-06,1.0012467104944975,1.0012519359588623,5.225464364766452e-06
77,0.0006397119923379768,6.397119923379768e-07,0.9996582969226674,0.9996589366346598,6.397119923784444e-07
78,0.004334549462814783,4.334549462814783e-06,0.9976892376439214,0.9976935721933842,4.3345494628033165e-06
79,0.016071889879955094,1.6071889879955093e-05,0.986923615391967,0.986939687281847,1.6071889879953893e-05
80,0.010791408674320255,1.0791408674320254e-05,0.9878208682063655,0.9878316596150398,1.0791408674326597e-05
