step,turnover,tc_penalty,net_return,gross_return,tc_drag
0,0.0009024246920279998,9.024246920279998e-07,0.9995180359379064,0.9995189383625984,9.024246919731027e-07
1,0.00033268087455350787,3.3268087455350785e-07,0.9998222689951127,0.9998226016759872,3.326808745152121e-07
2,0.009561495731333202,9.561495731333203e-06,1.0090041658115882,1.0090137273073196,9.561495731391645e-06
3,0.018366915156196196,1.8366915156196195e-05,0.9698384894756776,0.9698568563908339,1.8366915156220465e-05
4,0.01515262626984602,1.5152626269846019e-05,1.0035239085475267,1.0035390611737967,1.515262626994307e-05
5,0.019567674415654414,1.9567674415654413e-05,1.0314337344556874,1.0314533021301031,1.9567674415688074e-05
6,0.014137323201318927,1.4137323201318927e-05,0.9650342018946999,0.9650483392179012,1.4137323201324214e-05
7,0.0031409332340913143,3.1409332340913143e-06,0.998324496158045,0.998327637091279,3.140933234058174e-06
8,0.0032600510706098443,3.2600510706098443e-06,1.0017384621750722,1.0017417222261429,3.2600510706526364e-06
9,0.016482648688874276,1.6482648688874276e-05,1.0056794284756598,1.0056959111243486,1.648264868880922e-05
10,0.008581592151322353,8.581592151322354e-06,1.0005741972342046,1.000582778826356,8.581592151335471e-06
11,0.009702539277813928,9.702539277813927e-06,1.0300242397727244,1.0300339423120022,9.702539277789413e-06
12,0.02044209094733153,2.044209094733153e-05,0.9631508835330418,0.9631713256239891,2.044209094731464e-05
13,0.009449069452365542,9.449069452365543e-06,0.9956779481274366,0.9956873971968889,9.449069452327485e-06
14,0.002159017662896799,2.159017662896799e-06,0.9988476892676545,0.9988498482853174,2.159017662872742e-06
15,0.005031441926685386,5.031441926685386e-06,0.9973187144197229,0.9973237458616495,5.031441926650615e-06
16,0.026125068184574905,2.6125068184574907e-05,0.9682767506890329,0.9683028757572174,2.6125068184557065e-05
17,0.01250597713951692,1.250597713951692e-05,1.005985606284156,1.0059981122612953,1.250597713942092e-05
18,0.021946600901059474,2.1946600901059474e-05,0.9800004651925693,0.9800224117934704,2.1946600901046054e-05
19,0.012768099991667909,1.2768099991667909e-05,0.998208221380623,0.9982209894806147,1.2768099991622428e-05
20,0.014542009452540645,1.4542009452540646e-05,1.0208450012246573,1.0208595432341099,1.4542009452611637e-05
21,0.0028502156621385,2.8502156621385e-06,1.0015195790717715,1.0015224292874336,2.850215662153488e-06
22,0.0048790264558908475,4.8790264558908476e-06,1.0026040572535562,1.0026089362800121,4.879026455961721e-06
23,0.014670109821494498,1.4670109821494499e-05,0.9947640598654021,0.9947787299752235,1.4670109821479649e-05
24,0.017302181895438577,1.7302181895438576e-05,1.0154000315104168,1.0154173336923122,1.7302181895439972e-05
25,0.021558556050895596,2.1558556050895598e-05,0.954111132469683,0.954132691025734,2.155855605090462e-05
26,0.017748932505545375,1.7748932505545377e-05,0.990863580469822,0.9908813294023275,1.7748932505501358e-05
27,0.015095067275896483,1.5095067275896483e-05,1.0013475900468694,1.0013626851141453,1.5095067275927576e-05
28,0.0008585282731626287,8.585282731626287e-07,1.0004572329691481,1.0004580914974213,8.585282731399246e-07
29,0.0038042922641804144,3.8042922641804147e-06,1.0020292766134118,1.0020330809056759,3.8042922640979526e-06
30,0.016986345654088762,1.6986345654088762e-05,1.0155550716912694,1.0155720580369234,1.6986345654057544e-05
31,0.01946168026775944,1.9461680267759443e-05,0.9938754673860326,0.9938949290663004,1.9461680267784942e-05
32,0.010901725267080976,1.0901725267080977e-05,1.0062447696566832,1.0062556713819504,1.0901725267187246e-05
33,0.01702682889488516,1.702682889488516e-05,1.0173034217038057,1.0173204485327005,1.7026828894817214e-05
34,0.01640842361797426,1.6408423617974262e-05,1.020350548987552,1.02036695741117,1.6408423618052836e-05
35,0.0015038264804038554,1.5038264804038554e-06,1.0008011807488388,1.0008026845753193,1.5038264804534407e-06
36,0.003080985111746544,3.080985111746544e-06,1.0016428155986838,1.0016458965837955,3.0809851117030718e-06
37,0.010442373224892672,1.0442373224892672e-05,1.0055900137751612,1.005600456148386,1.0442373224783807e-05
38,0.009458558714190084,9.458558714190085e-06,0.9920442103873136,0.9920536689460278,9.458558714148246e-06
39,0.010577024511422572,1.0577024511422572e-05,0.9875675095304927,0.9875780865550041,1.0577024511460031e-05
40,0.014830117506033174,1.4830117506033173e-05,1.0174306615093527,1.0174454916268587,1.4830117506026141e-05
41,0.012721425530219165,1.2721425530219165e-05,0.9824349754241736,0.9824476968497038,1.2721425530215491e-05
42,0.0011286001082736682,1.1286001082736684e-06,1.0006011539836053,1.0006022825837135,1.1286001082577712e-06
43,0.0002617442620863747,2.617442620863747e-07,1.0001393546855437,1.0001396164298058,2.6174426204228496e-07
44,0.008810797006185495,8.810797006185496e-06,1.0049501391861138,1.00495894998312,8.810797006209015e-06
45,0.0077613132802889055,7.761313280288906e-06,1.0060372300011309,1.0060449913144112,7.76131328028562e-06
46,0.006350599777866062,6.350599777866062e-06,0.991571095860946,0.9915774464607239,6.350599777826815e-06
47,0.010963599104225532,1.0963599104225532e-05,0.9782744999277407,0.978285463526845,1.0963599104241162e-05
48,0.014562787332589401,1.4562787332589401e-05,0.97191678669878,0.9719313494861126,1.456278733258376e-05
49,0.006241339642104295,6.2413396421042955e-06,0.9966760877637085,0.9966823291033506,6.241339642110155e-06
50,0.006559424568359954,6.559424568359954e-06,0.996507276661228,0.9965138360857964,6.559424568397532e-06
51,0.0228030964992843,2.28030964992843e-05,0.9573803333207704,0.9574031364172697,2.2803096499268705e-05
52,0.013531042948920147,1.3531042948920148e-05,0.9984893362533892,0.9985028672963381,1.3531042948877747e-05
53,0.011676794991586074,1.1676794991586074e-05,1.0141683389775895,1.014180015772581,1.167679499158858e-05
54,0.02431782706983723,2.431782706983723e-05,0.9694745363034367,0.9694988541305065,2.431782706979746e-05
55,0.010759037610482022,1.0759037610482022e-05,1.0006232164533173,1.0006339754909277,1.0759037610386102e-05
56,0.009215227685429248,9.215227685429247e-06,0.9951000336786886,0.995109248906374,9.215227685377414e-06
57,0.012549744165883378,1.2549744165883378e-05,1.0067257478971114,1.0067382976412773,1.2549744165868404e-05
58,0.00013630768438545326,1.3630768438545327e-07,1.00006981719354,1.0000699535012245,1.3630768447292496e-07
59,0.013683703855441341,1.368370385544134e-05,1.0255487349209034,1.0255624186247587,1.368370385534945e-05
60,0.013784676438492335,1.3784676438492336e-05,0.9974567134085834,0.997470498085022,1.3784676438532983e-05
61,0.016266191843886953,1.6266191843886954e-05,1.0149543772540055,1.0149706434458494,1.6266191843916644e-05
62,0.015207551092713722,1.5207551092713722e-05,1.0292316051352315,1.0292468126863241,1.5207551092633054e-05
63,0.0015386595612708123,1.5386595612708125e-06,1.0008197537407988,1.00082129240036,1.5386595613176013e-06
64,0.00335572489188422,3.3557248918842203e-06,0.998210121707836,0.9982134774327278,3.3557248918514304e-06
65,0.007424375075206002,7.424375075206002e-06,0.996719308325988,0.9967267327010632,7.424375075171241e-06
66,0.013240126891075569,1.3240126891075569e-05,0.9760987847317029,0.9761120248585939,1.3240126891078674e-05
67,0.011437829739994094,1.1437829739994094e-05,1.0007147963380743,1.0007262341678143,1.1437829740001959e-05
68,0.011677952234738092,1.1677952234738093e-05,0.9925546393676352,0.99256631731987,1.1677952234778743e-05
69,0.010196941629034235,1.0196941629034235e-05,1.0065449281756729,1.006555125117302,1.0196941629070366e-05
70,0.00038806518139343493,3.8806518139343494e-07,1.0001545486209769,1.0001549366861582,3.880651813226166e-07
71,0.0005653006416605974,5.653006416605974e-07,1.0003010193007607,1.0003015846014023,5.653006416306283e-07
72,0.007027831911093969,7.02783191109397e-06,1.0037552508739243,1.0037622787058353,7.027831911088356e-06
73,0.014558817068804485,1.4558817068804485e-05,1.0036366745729048,1.0036512333899736,1.4558817068799357e-05
74,0.008222081726181635,8.222081726181636e-06,1.0072125677084274,1.0072207897901535,8.222081726128039e-06
75,0.013625407878044202,1.3625407878044203e-05,1.0147362331204977,1.0147498585283756,1.362540787797073e-05
76,0.0052254369825756285,5.225436982575629e-06,1.0012467440494923,1.001251969486475,5.225436982669862e-06
77,0.0006397119923379768,6.397119923379768e-07,0.9996582969226674,0.9996589366346598,6.397119923784444e-07
78,0.004334549462814783,4.334549462814783e-06,0.9976892376439214,0.9976935721933842,4.3345494628033165e-06
79,0.016071906272446188,1.6071906272446187e-05,0.9869236228261552,0.9869396947324276,1.6071906272396852e-05
80,0.010791372356371495,1.0791372356371496e-05,0.9878208701053286,0.987831661477685,1.0791372356377948e-05
