Price,Close,High,Low,Open,Volume
Ticker,MA,MA,MA,MA,MA
Date,,,,,
2015-01-02,79.98552703857422,81.55387098530426,79.27603624491972,80.91906493252473,4505800
2015-01-05,77.73570251464844,79.67746317379522,77.5303301469468,79.6214531755429,6441400
2015-01-06,77.56765747070312,78.2118008740955,76.36339989736842,78.0997808890385,7690000
2015-01-07,78.77422332763672,78.83034136386651,77.69858243813695,78.66198011910944,5846800
2015-01-08,79.99952697753906,80.08371118087916,79.53185757429277,79.6815152086446,5174200
2015-01-09,78.98005676269531,80.43918386081324,78.94264233247782,80.41112482216835,4582200
2015-01-12,77.96984100341797,79.3634937827237,77.54894140829357,78.9519495734663,4030100
2015-01-13,78.1475601196289,79.72827784972561,77.38993083401043,78.65263679528287,4222100
2015-01-14,78.0633773803711,78.08208815304624,76.54812591678466,76.69778355391023,5084300
2015-01-15,76.931640625,78.69007555601445,76.86616717374072,78.38141907783265,4331500
2015-01-16,78.38139343261719,78.43751147645817,76.53877487510594,76.74455055061442,4763700
2015-01-20,78.81165313720703,79.40091404101635,77.81084085774539,78.93324461816383,3540600
2015-01-21,78.30657196044922,78.89583288424696,77.91373134458406,78.362690009553,3598400
2015-01-22,78.92389678955078,79.06419905705604,77.1654621602182,77.96985421544059,4796200
2015-01-23,78.93327331542969,79.34482484070718,78.3814266211455,78.83038543411031,5012200
2015-01-26,78.1943359375,79.22320737034804,77.51154249020348,78.84907749372691,5440400
2015-01-27,76.48267364501953,77.4554271472608,75.72505127164939,77.26836218516748,5486000
2015-01-28,75.51927947998047,78.14758729205073,75.45380602621765,77.94181154134723,5070200
2015-01-29,76.11788940429688,76.27690246638663,74.65876276822384,75.10772865259204,6277200
2015-01-30,76.72586059570312,79.3167537423696,76.22077665589012,78.59653868268288,13332400
2015-02-02,77.61444091796875,77.8482756907396,75.36962567215448,76.42655627609315,10576500
2015-02-03,78.39077758789062,78.45625104771682,77.10936742613923,77.8950489440535,8490400
2015-02-04,78.73684692382812,79.47576568042186,78.11951968310255,78.49365675602068,4923200
2015-02-05,80.27078247070312,80.35496668073736,78.56846599296499,79.11096425652543,5426000
2015-02-06,78.71814727783203,80.22403676305683,78.53107516384,80.08374159765216,5540900
2015-02-09,79.12030029296875,79.3447867276915,78.20367232742308,78.54039484343895,3951100
2015-02-10,78.78361511230469,79.67218439813287,78.46559610924542,79.66282900908293,4441800
2015-02-11,78.99874114990234,79.30740477188995,78.51236794779828,78.78361714869001,4051300
2015-02-12,81.86088562011719,82.29114794224618,79.79378679454939,79.9060300702446,7053500
2015-02-13,81.50544738769531,82.30048418362543,81.01907420281941,82.15083364061395,5510900
2015-02-17,81.86088562011719,82.468857542007,81.59899177956699,82.24437812668853,5083400
2015-02-18,82.0572738647461,82.16015456480568,81.23417117572116,81.86084644226985,2974300
2015-02-19,83.43224334716797,83.64737447612399,81.91699859982972,81.97311666126569,5271700
2015-02-20,84.91941833496094,85.0597205951057,83.13291763699439,83.26386451017765,6276500
2015-02-23,85.22810363769531,85.2468072803237,84.12440318476916,85.04103153105542,4316300
2015-02-24,85.41517639160156,85.72384004363052,84.40500833190963,84.69496833960585,5547500
2015-02-25,86.67790222167969,86.7620864801242,85.48066890746836,86.0979963491499,6144400
2015-02-26,85.3590316772461,86.98651939689495,85.17195961195507,86.8836315450023,5666700
2015-02-27,84.30207061767578,85.75184839099026,84.15242014325547,85.12517320322418,4675300
2015-03-02,86.06989288330078,86.20084691037688,83.71284170912703,83.76895976639511,5568300
2015-03-03,85.08777618408203,85.99505600883695,84.66686942064395,85.95764159857119,3444400
2015-03-04,85.7799301147461,85.94829140307617,84.30209293230097,84.77911777191443,4733900
2015-03-05,86.80882263183594,86.93976953954255,85.53676084033914,86.0512002178089,4651300
2015-03-06,84.91941833496094,86.54690599885976,84.80717509963125,86.52820236100617,4963200
2015-03-09,85.22810363769531,85.52741187224792,84.2459947020317,84.66689445384684,4144800
2015-03-10,83.09552001953125,84.54529844059071,83.09552001953125,84.34887809111757,5050200
2015-03-11,81.346435546875,82.4688395141799,81.23419229571635,81.9263411710187,9452300
2015-03-12,83.47900390625,83.72219403897849,82.01052199412628,82.0572917975214,7035500
2015-03-13,82.07603454589844,83.47904368343517,81.70189734867395,83.47904368343517,4609700
2015-03-16,82.97390747070312,83.17968315685414,82.24434431876338,82.77748717103235,3843900
2015-03-17,82.28177642822266,82.83362303609063,82.07600069780729,82.55302560594558,2880800
2015-03-18,83.1329345703125,83.48836798655326,81.5802754137062,82.0479449520686,5437300
2015-03-19,83.26387023925781,83.8718419843378,82.90844400702898,83.10486433031885,3172500
2015-03-20,84.01216125488281,84.51724524672434,83.6006097498109,83.7783264699231,4372000
2015-03-23,83.55384063720703,84.7884879212303,83.54448524842944,84.12439803943687,3395200
2015-03-24,83.70347595214844,84.12438273773036,83.28257630263599,83.61929887667374,4050500
2015-03-25,81.72057342529297,83.82508623777656,81.72057342529297,83.77831643195985,3813600
2015-03-26,82.24436950683594,82.59044755190385,80.9629523372213,81.10325463311754,4141800
2015-03-27,81.60833740234375,82.60914996527349,81.25291110929048,82.21630925146654,4927400
2015-03-30,82.00118255615234,82.58109540512737,81.82347296803907,81.97312352308559,3451100
2015-03-31,80.803955078125,82.5530419978882,80.803955078125,81.68317623318174,5985500
2015-04-01,81.13129425048828,81.13129425048828,79.84988452358422,81.1219459994511,4736900
2015-04-02,81.4025650024414,82.18825359842361,81.0658423378878,81.29967712515717,4628400
2015-04-06,81.69249725341797,81.9918125562682,80.64492223772052,80.76651372745123,5853800
2015-04-07,82.38593292236328,82.93879948611456,81.77684530605566,81.95488817137398,4091200
2015-04-08,83.69781494140625,84.04452812453482,82.72327615430251,82.83572541214174,3659900
2015-04-09,83.45417785644531,84.05389292893449,82.59208833338809,83.49166094212184,3482100
2015-04-10,82.99501037597656,83.84773436422512,82.76074648678738,83.84773436422512,2575300
2015-04-13,82.69515991210938,83.80088584902552,82.69515991210938,83.05123848024039,3526000
2015-04-14,83.51038360595703,83.83835158098577,82.47025149289041,82.47025149289041,3453500
2015-04-15,83.6322250366211,83.9320825883207,83.07936558002444,83.53852089218395,2683600
2015-04-16,83.13557434082031,83.56661906081251,83.01375253681873,83.35109312623297,2952100
2015-04-17,81.45826721191406,82.75140174114442,81.13966449797186,82.45154414817061,4352800
2015-04-20,81.83306121826172,82.35781002776173,81.5332037343808,81.72998453794331,2681000
2015-04-21,82.2453842163086,82.62958052495621,81.77685631747106,81.99238229657041,3148200
2015-04-22,85.4594497680664,86.61203105769161,82.91066508095925,82.91066508095925,12232000
2015-04-23,85.15962219238281,85.64689517565233,84.50368604086754,85.4594797400995,4322300
2015-04-24,85.00971221923828,85.42201910213514,84.53181170944139,85.00971221923828,3519200
2015-04-27,84.10078430175781,85.52510641672075,84.04456322394249,85.20651077687309,4854300
2015-04-28,84.5505142211914,84.74729500272264,83.68841779603225,84.00702035839153,4786300
2015-04-29,84.56929016113281,87.69905325737872,84.15698330086808,85.39389673249352,9364700
2015-04-30,84.53176879882812,85.63749448325322,84.0163926059951,84.56925187362489,7470700
2015-05-01,85.5063247680664,85.56254581716678,84.57864171207551,84.67234584363177,4663100
2015-05-04,85.44072723388672,86.1997399585225,85.09401409898109,85.73121217310947,4596900
2015-05-05,85.06592559814453,86.13416865350663,84.85977217532579,85.40326626290819,3707000
2015-05-06,84.869140625,85.69374712717062,84.29753603456494,85.31893053929097,3495800
2015-05-07,86.25599670410156,86.35907342294315,84.66299741693,85.0003381060172,4369800
2015-05-08,87.6240463256836,88.3924314139616,86.80880561101742,86.99621381824042,9933400
2015-05-11,86.6964111328125,88.00829085912092,86.67767315992594,87.59599111309265,4731400
2015-05-12,86.57456970214844,86.89317233619103,85.81555692416046,86.10604188380185,5191800
2015-05-13,86.6964111328125,87.12746315006602,86.22788316978587,86.91193714143927,3443200
2015-05-14,87.93331909179688,87.98954730522878,86.95878728178317,87.23989975226712,3467200
2015-05-15,87.35233306884766,88.55176321509,87.17429019898844,87.93330302452702,3403800
2015-05-18,87.22115325927734,87.29611943708328,86.04983354044036,87.05248293379809,4281200
2015-05-19,87.89583587646484,88.14883779388553,87.2867481837216,87.71779298880357,3279700
