Price,Close,High,Low,Open,Volume
Ticker,ACN,ACN,ACN,ACN,ACN
Date,,,,,
2015-01-02,74.25260925292969,75.2973612271773,73.90993392123967,74.94632609422851,2021300
2015-01-05,72.99891662597656,73.81800508882937,72.86519167128967,73.58398163563167,3000000
2015-01-06,72.47236633300781,73.3583141151507,71.88730768001932,73.13265045661544,2867000
2015-01-07,73.9935302734375,74.17740768458344,72.84848592038392,72.84848592038392,2865500
2015-01-08,75.12185668945312,75.34752672595926,74.25262213092431,74.38635346761849,2802900
2015-01-09,75.03828430175781,75.34753326219393,74.70396230768178,75.18036907682509,2399900
2015-01-12,74.8126220703125,75.23887640376435,74.31114225782329,74.47830006976577,2418500
2015-01-13,75.080078125,76.34213426694221,74.5117326391161,75.02992568026846,4007000
2015-01-14,74.20247650146484,74.83768760115068,73.55055217292515,74.83768760115068,2377900
2015-01-15,73.692626953125,74.46992271107989,73.27472614512045,74.394703626436,1821000
2015-01-16,74.29442596435547,74.3947244819916,73.17445454573134,73.34161236512949,2657400
2015-01-20,74.0687484741211,74.7373860038323,73.4836834618803,74.29441212594166,2333600
2015-01-21,73.83470916748047,74.07709239301701,73.32487606571195,73.84306896881898,2040800
2015-01-22,74.80423736572266,74.85438341728032,73.50874243609934,74.15231318883441,2656900
2015-01-23,74.57020568847656,75.15526414731475,74.50334004270678,74.8125888718978,1939100
2015-01-26,74.4532241821289,74.55351631478585,73.75114737022254,74.4197913456894,1997200
2015-01-27,72.01270294189453,73.81803193502653,71.87897156191126,73.50878290131259,3689000
2015-01-28,70.50823211669922,72.8150466005299,70.48315908589578,72.65624223656019,3469100
2015-01-29,71.57805633544922,71.6282023963976,70.15719601085095,71.0013511278994,3590600
2015-01-30,70.23240661621094,71.41088991939064,70.09032187625114,71.14343366554746,3837500
2015-02-02,71.73686218261719,71.75357541105907,69.76436964010361,70.5583787126433,3088500
2015-02-03,73.48367309570312,73.51710592397153,71.85386257174362,72.08788599296243,3501300
2015-02-04,72.99891662597656,74.53679505317136,72.85683186891522,74.53679505317136,2764100
2015-02-05,73.943359375,74.00186522465648,72.99889960341184,73.64247032629254,2102000
2015-02-06,73.67593383789062,74.46994303917624,73.41683093007137,74.05204211709707,2386500
2015-02-09,73.01563262939453,73.74278236024595,72.79832241500321,73.14100415218417,2670500
2015-02-10,73.14933776855469,73.47530619019929,72.44726763371108,73.33321510196387,2573800
2015-02-11,73.51712036132812,73.69263796171053,72.92370189051299,73.14936555481572,1829800
2015-02-12,74.46156311035156,74.57022140178849,73.53382918060589,73.60068846380518,1931300
2015-02-13,75.04663848876953,75.05499829157775,74.45322002260976,74.4615734487568,1774400
2015-02-17,74.6370849609375,75.04662595689523,74.24425719114413,74.91289464093998,1915900
2015-02-18,74.74573516845703,74.82095424947178,74.26932852538374,74.38634023584666,1508900
2015-02-19,75.44782257080078,75.5397612751446,74.6956060831316,74.82933104975625,1751700
2015-02-20,75.6316909790039,76.0412383865836,74.64544475795148,75.23886317567599,2950600
2015-02-23,75.69856262207031,75.88244002340014,75.33080781941065,75.7236356537678,1579000
2015-02-24,75.93260192871094,76.057973490016,75.13023286368609,75.36425637723553,1592000
2015-02-25,75.7236099243164,76.42568645659966,75.49794633905404,75.75704274744027,1732900
2015-02-26,75.47290802001953,76.25020397925545,75.22216491962268,75.90752216715721,2156800
2015-02-27,75.24723052978516,75.85736861299627,75.1051457626885,75.26395013571494,1686100
2015-03-02,76.20838928222656,76.25853533712888,74.9964795265802,75.24721617775181,1975000
2015-03-03,75.92420196533203,76.28359685009055,75.68182515211595,76.2083777790909,2888300
2015-03-04,75.98273468017578,76.22511155875516,75.27229814252028,75.91586901459347,2728800
2015-03-05,76.93553161621094,77.04418351701244,76.20838200625148,76.31703390705299,3019600
2015-03-06,75.78215026855469,76.85197558889384,75.63170568434063,76.57616583171963,3735000
2015-03-09,75.8824234008789,76.02450813381425,75.33915111868285,75.83227734846872,1464200
2015-03-10,73.60067749023438,75.39765197691243,73.59232406649261,75.18870160350009,3230200
2015-03-11,72.59771728515625,74.30275307477451,72.51413841223226,73.79291366028114,4320400
2015-03-12,73.71768951416016,73.80127476522101,72.59771856852961,72.73980329267809,2164100
2015-03-13,73.44189453125,73.72606403629017,72.21326506457018,73.70099100662905,3617200
2015-03-16,74.31114196777344,74.46993997550044,73.66757100331714,73.81801558414287,2246000
2015-03-17,74.25260925292969,74.28604208130481,73.7260565535065,73.84306826448943,2210900
2015-03-18,75.99944305419922,76.35047821109463,73.8597929055105,74.21918786423497,2664900
2015-03-19,75.38096618652344,76.34213315269483,75.2138020009611,75.96602489433747,2658500
2015-03-20,76.45914459228516,76.60122935510593,75.64841589894377,75.96601825877745,3558200
2015-03-23,76.50929260253906,76.70988323613619,76.23347649592972,76.3755612623668,1916200
2015-03-24,74.72903442382812,76.46749714534457,74.6203761197789,76.46749714534457,2948600
2015-03-25,73.72605895996094,75.18035197011766,73.7009859320262,74.72902471397194,3607100
2015-03-26,78.70744323730469,79.38444693906895,76.00780736255479,76.4842140684907,7157000
2015-03-27,78.51522827148438,78.68238609176046,77.43704311371596,78.4985086634595,4352000
2015-03-30,78.9164047241211,79.26743995105016,78.51522342953407,78.69074104299861,3333100
2015-03-31,78.30624389648438,78.97488126469052,78.18923219763181,78.5737001190987,2708600
2015-04-01,78.19760131835938,78.50685022835212,77.46209815269357,78.19760131835938,2736100
2015-04-02,78.7158203125,78.9164109756838,77.81315276317956,78.31463260947018,2145700
2015-04-06,79.97785949707031,80.23695596016036,77.83820300200368,78.1140190685152,2563700
2015-04-07,80.56291198730469,80.88887408609399,79.51816003563131,79.93606081630065,4232700
2015-04-08,80.35171508789062,81.23024594199745,79.96313524864577,80.63892375151838,2651600
2015-04-09,80.64739227294922,80.80789506156324,79.98004637459485,80.58826068422718,1952200
2015-04-10,79.98851013183594,80.64740693880576,79.8533485074006,80.63050851332086,2158000
2015-04-13,78.97482299804688,80.14901230463815,78.93258982100043,79.69285145645095,2443900
2015-04-14,79.2451171875,79.59146394260857,78.74672330461843,79.04238123894305,2087000
2015-04-15,79.54078674316406,79.82799548523953,79.41407435024723,79.63370229011905,2093900
2015-04-16,79.45631408691406,79.59147570249564,79.12686570500965,79.32960812838202,1934800
2015-04-17,78.04560089111328,78.90724010403264,77.85131411898688,78.80586888931838,2647800
2015-04-20,78.78893280029297,79.03390828509916,78.23985670643728,78.5524065238891,3294400
2015-04-21,78.56089782714844,79.4056386639995,78.45108383850781,79.32961508221624,1949800
2015-04-22,78.88188934326172,79.09307453190867,78.35815420012798,78.84809893969495,1896200
2015-04-23,79.27046203613281,79.63370078503715,78.43417057046375,78.88188209809607,2165500
2015-04-24,78.8987808227539,79.25357036168548,78.25677610121589,78.80585883233945,2249800
2015-04-27,79.2029037475586,79.74353737492531,79.00861051669499,79.43098094087905,2155500
2015-04-28,79.76040649414062,79.81953807878284,78.34124201786793,79.06771945482058,1976300
2015-04-29,79.10999298095703,79.75199792151318,78.48488646889196,79.6168362730331,1701900
2015-04-30,78.26525115966797,79.28738694692717,77.82598225175664,78.75520246277597,1804800
2015-05-01,78.86500549316406,79.12687309172375,78.30747344413372,78.83121508611424,1851300
2015-05-04,79.77729034423828,80.21655254351317,79.20286657911993,79.27044091718348,1990600
2015-05-05,79.10999298095703,80.03075754299464,78.93259815097352,79.77733911938766,1769000
2015-05-06,78.56089782714844,79.38029747007175,78.21455099050617,79.11842987300348,2386600
