Price,Close,High,Low,Open,Volume
Ticker,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL
Date,,,,,
2015-01-02,26.260459899902344,26.570398279090803,26.177642564071707,26.41170808856967,26480000
2015-01-05,25.76009178161621,26.183095962111732,25.67529382896273,26.141440429219443,41182000
2015-01-06,25.12434959411621,25.846876415134567,25.07029576570784,25.811667839004635,54456000
2015-01-07,25.050457000732422,25.36485790431801,24.976072931454695,25.33808069873763,46918000
2015-01-08,25.137737274169922,25.166994516697418,24.54810906238955,24.8699500804736,73054000
2015-01-09,24.830772399902344,25.221543673525197,24.728122346067824,25.200715907041257,42000000
2015-01-12,24.649274826049805,24.808954375529883,24.34429464256883,24.75738058619834,57138000
2015-01-13,24.88433265686035,25.221545763633,24.65919413025098,24.922516898578568,60958000
2015-01-14,25.089136123657227,25.204681985071584,24.703822456627375,24.81589513203065,52800000
2015-01-15,24.99392318725586,25.27856930708844,24.894742543827252,25.23592251951945,51068000
2015-01-16,25.31378173828125,25.33312072618188,24.948300783435357,24.951276448892433,49658000
2015-01-20,25.287994384765625,25.569171129443106,25.259728399950568,25.428334942620978,46796000
2015-01-21,25.80621337890625,25.87861493705752,25.270638965153605,25.33262663942792,46356000
2015-01-22,26.64478302001953,26.721151505615815,25.881591901355204,25.935643839401838,56068000
2015-01-23,26.875375747680664,27.046957961996203,26.567917414782933,26.680983249796775,45966000
2015-01-26,26.61602020263672,26.853061388067903,26.385425977502006,26.853061388067903,30932000
2015-01-27,25.84588623046875,26.42063618140973,25.829521014223904,26.35220154230748,39148000
2015-01-28,25.411474227905273,26.06903955847943,25.407507304437367,26.034822242462525,35822000
2015-01-29,25.451148986816406,25.548345239425768,24.96764397707178,25.434783771142534,79018000
2015-01-30,26.65717887878418,26.932404292585282,25.69661778151271,25.737282057374063,121108000
2015-02-02,26.39187240600586,26.60511015362786,25.872167586263934,26.49700250116337,75378000
2015-02-03,26.446420669555664,26.652218298064415,26.12457965499123,26.27979664583379,47062000
2015-02-04,26.089372634887695,26.617506938356748,26.03631006584765,26.438486504897366,33896000
2015-02-05,26.274343490600586,26.316990282581052,26.066559557654234,26.180121018325785,33176000
2015-02-06,26.475187301635742,26.789588266295457,26.215831429122602,26.332864203565517,42938000
2015-02-09,26.247068405151367,26.4751825813196,26.161277301678282,26.33533765344044,30314000
2015-02-10,26.786609649658203,26.82826518596834,26.24161449122016,26.38939327600725,47430000
2015-02-11,26.679494857788086,26.875376137177962,26.580314199757126,26.7652859661892,38306000
